species,order,status,mean.within,max.within,n.haplo,min.between,reads,size,island
Acari_6,Acari,unknown,0.0175,0.0304,8,0.197,740,1,1
Acari_21,Acari,unknown,0,0,1,0.2772,16,1,1
Acari_12,Acari,unknown,0.0146,0.0292,1,0.2336,22,1,1
Acari_1,Acari,unknown,0.0075,0.0155,8,0.2336,5686,1,1
Acari_14,Acari,unknown,0,0,1,0.2302,28,1,1
Acari_8,Acari,unknown,0.0024,0.0048,1,0.2302,76,1,1
Acari_2,Acari,unknown,0.0024,0.0048,2,0.3363,1621,1,5
Acari_3,Acari,unknown,0.0341,0.0598,3,0.3711,583,1,2
Acari_20,Acari,unknown,0,0,1,0.2259,7,1,1
Acari_18,Acari,unknown,0.0012,0.0024,1,0.2259,11,1,1
Acari_16,Acari,unknown,0,0,1,0.2547,7,1,1
Acari_11,Acari,unknown,0,0,7,0.2621,111,1,2
Acari_19,Acari,unknown,0,0,2,0.2557,5,1,1
Acari_15,Acari,unknown,0,0,1,0.2557,10,1,1
Acari_17,Acari,unknown,0,0,1,0.2847,12,1,1
Acari_5,Acari,unknown,0.0127,0.0221,4,0.1132,654,1,1
Acari_22,Acari,unknown,0,0,1,0.1132,13,1,1
Acari_23,Acari,unknown,0.0012,0.0024,1,0.1391,20,1,1
Acari_13,Acari,unknown,0,0,2,0.2734,18,1,1
Acari_10,Acari,unknown,0.0921,0.1417,5,0.2531,126,1,1
Acari_4,Acari,unknown,0.0442,0.0884,2,0.2531,162,1,2
Acari_9,Acari,unknown,0.0064,0.0138,2,0.0768,50,1,1
Acari_24,Acari,unknown,0,0,2,0.0768,43,1,1
Acari_25,Acari,unknown,0,0,1,0.0956,12,1,1
Amphipoda_3,Amphipoda,unknown,0.0133,0.0313,4,0.1,248,4,1
Amphipoda_7,Amphipoda,unknown,0.0184,0.0308,3,0.1035,69,3,2
Amphipoda_12,Amphipoda,unknown,0.0153,0.0334,3,0.0787,49,4,1
Amphipoda_10,Amphipoda,unknown,0,0,1,0.0787,44,4,1
Amphipoda_9,Amphipoda,unknown,0.0076,0.0132,5,0.0733,131,4,1
Amphipoda_11,Amphipoda,unknown,0,0,1,0.0733,53,4,1
Amphipoda_14,Amphipoda,unknown,0,0,1,0.1257,18,4,1
Amphipoda_13,Amphipoda,unknown,0.0183,0.0346,4,0.1214,52,4,1
Amphipoda_15,Amphipoda,unknown,0,0,1,0.1214,20,3,1
